Class Catalogue - Class Search Results,,,,,,,
,,,,,,,
Search Type:,Class Search,,,,,,
Session:,Academic Year 2021/2022,,,,,,
Credit Scheme:,Strathclyde Standard 2003 and after,,,,,,
Classification:,Undergraduate,,,,,,
,,,,,,,
,,,,,,,
CODE,TITLE,CREDITS,LEVEL,UG/PG/CE,SEMESTER,EXCHANGE,ELECTIVE
X3552,Creative Contexts For Learning Chemistry With Science 2 (Gaelic Medium),40,Level 5,Undergraduate,Full Year 2021/2022,N,NE
X3439,Creative Contexts For Learning Computing 1,40,Level 4,Undergraduate,Full Year 2021/2022,N,NE
X3440,Creative Contexts For Learning Computing 1 (Gaelic Medium),40,Level 4,Undergraduate,Full Year 2021/2022,N,NE
X3530,Creative Contexts For Learning Computing 2,40,Level 5,Undergraduate,Full Year 2021/2022,N,NE
X3551,Creative Contexts For Learning Computing 2 (Gaelic Medium),40,Level 5,Undergraduate,Full Year 2021/2022,N,NE
X3465,Creative Contexts For Learning English 1,40,Level 4,Undergraduate,Full Year 2021/2022,N,NE
X3555,Creative Contexts For Learning English 2,40,Level 5,Undergraduate,Full Year 2021/2022,N,NE
X3424,Creative Contexts For Learning French 1,40,Level 4,Undergraduate,Full Year 2021/2022,N,NE
X3425,Creative Contexts For Learning French 1 (Gaelic Medium),40,Level 4,Undergraduate,Full Year 2021/2022,N,NE
X3518,Creative Contexts For Learning French 2,40,Level 5,Undergraduate,Full Year 2021/2022,N,NE
X3519,Creative Contexts For Learning French 2 (Gaelic Medium),40,Level 5,Undergraduate,Full Year 2021/2022,N,NE
X3420,Creative Contexts For Learning French And German 1,40,Level 4,Undergraduate,Full Year 2021/2022,N,NE
X3419,Creative Contexts For Learning French And German 1 (Gaelic Medium),40,Level 4,Undergraduate,Full Year 2021/2022,N,NE
X3515,Creative Contexts For Learning French And German 2,40,Level 5,Undergraduate,Full Year 2021/2022,N,NE
X3516,Creative Contexts For Learning French And German 2 (Gaelic Medium),40,Level 5,Undergraduate,Full Year 2021/2022,N,NE
X3426,Creative Contexts For Learning French And Italian 1,40,Level 4,Undergraduate,Full Year 2021/2022,N,NE
X3427,Creative Contexts For Learning French And Italian 1 (Gaelic Medium),40,Level 4,Undergraduate,Full Year 2021/2022,N,NE
X3520,Creative Contexts For Learning French And Italian 2,40,Level 5,Undergraduate,Full Year 2021/2022,N,NE
X3521,Creative Contexts For Learning French And Italian 2 (Gaelic Medium),40,Level 5,Undergraduate,Full Year 2021/2022,N,NE
X3414,Creative Contexts For Learning French And Spanish 1,40,Level 4,Undergraduate,Full Year 2021/2022,N,NE
X3415,Creative Contexts For Learning French And Spanish 1 (Gaelic Medium),40,Level 4,Undergraduate,Full Year 2021/2022,N,NE
X3509,Creative Contexts For Learning French And Spanish 2,40,Level 5,Undergraduate,Full Year 2021/2022,N,NE
X3510,Creative Contexts For Learning French And Spanish 2 (Gaelic Medium),40,Level 5,Undergraduate,Full Year 2021/2022,N,NE
X3461,Creative Contexts For Learning Gaelic 1,40,Level 4,Undergraduate,Full Year 2021/2022,N,NE
X3557,Creative Contexts For Learning Gaelic 2,40,Level 5,Undergraduate,Full Year 2021/2022,N,NE
X3441,Creative Contexts For Learning Geography 1,40,Level 4,Undergraduate,Full Year 2021/2022,N,NE
X3442,Creative Contexts For Learning Geography 1 (Gaelic Medium),40,Level 4,Undergraduate,Full Year 2021/2022,N,NE
X3531,Creative Contexts For Learning Geography 2,40,Level 5,Undergraduate,Full Year 2021/2022,N,NE
X3550,Creative Contexts For Learning Geography 2 (Gaelic Medium),40,Level 5,Undergraduate,Full Year 2021/2022,N,NE
X3416,Creative Contexts For Learning German 1,40,Level 4,Undergraduate,Full Year 2021/2022,N,NE
X3417,Creative Contexts For Learning German 1 (Gaelic Medium),40,Level 4,Undergraduate,Full Year 2021/2022,N,NE
X3511,Creative Contexts For Learning German 2,40,Level 5,Undergraduate,Full Year 2021/2022,N,NE
X3513,Creative Contexts For Learning German 2 (Gaelic Medium),40,Level 5,Undergraduate,Full Year 2021/2022,N,NE
X3418,Creative Contexts For Learning German And French 1,40,Level 4,Undergraduate,Full Year 2021/2022,N,NE
X3421,Creative Contexts For Learning German And French 1 (Gaelic Medium),40,Level 4,Undergraduate,Full Year 2021/2022,N,NE
X3512,Creative Contexts For Learning German And French 2,40,Level 5,Undergraduate,Full Year 2021/2022,N,NE
X3514,Creative Contexts For Learning German And French 2 (Gaelic Medium),40,Level 5,Undergraduate,Full Year 2021/2022,N,NE
X7427,Creative Contexts For Learning German And Italian 1,40,Level 4,Undergraduate,Full Year 2021/2022,N,NE
X3843,Creative Contexts For Learning German And Italian 2,40,Level 5,Undergraduate,Full Year 2021/2022,N,NE
X7428,Creative Contexts For Learning German And Spanish 1,40,Level 4,Undergraduate,Full Year 2021/2022,N,NE
X3844,Creative Contexts For Learning German And Spanish 2,40,Level 5,Undergraduate,Full Year 2021/2022,N,NE
X3443,Creative Contexts For Learning History 1,40,Level 4,Undergraduate,Full Year 2021/2022,N,NE
X3444,Creative Contexts For Learning History 1 (Gaelic Medium),40,Level 4,Undergraduate,Full Year 2021/2022,N,NE
X3532,Creative Contexts For Learning History 2,40,Level 5,Undergraduate,Full Year 2021/2022,N,NE
X3549,Creative Contexts For Learning History 2 (Gaelic Medium),40,Level 5,Undergraduate,Full Year 2021/2022,N,NE
X3449,Creative Contexts For Learning Home Economics 1,40,Level 4,Undergraduate,Full Year 2021/2022,N,NE
X3450,Creative Contexts For Learning Home Economics 1 (Gaelic Medium),40,Level 4,Undergraduate,Full Year 2021/2022,N,NE
X3535,Creative Contexts For Learning Home Economics 2,40,Level 5,Undergraduate,Full Year 2021/2022,N,NE
X3548,Creative Contexts For Learning Home Economics 2 (Gaelic Medium),40,Level 5,Undergraduate,Full Year 2021/2022,N,NE
X3428,Creative Contexts For Learning Italian 1,40,Level 4,Undergraduate,Full Year 2021/2022,N,NE
X3429,Creative Contexts For Learning Italian 1 (Gaelic Medium),40,Level 4,Undergraduate,Full Year 2021/2022,N,NE
X3522,Creative Contexts For Learning Italian 2,40,Level 5,Undergraduate,Full Year 2021/2022,N,NE
X3523,Creative Contexts For Learning Italian 2 (Gaelic Medium),40,Level 5,Undergraduate,Full Year 2021/2022,N,NE
X7446,Creative Contexts For Learning Italian And German 1,40,Level 4,Undergraduate,Full Year 2021/2022,N,NE
X3845,Creative Contexts For Learning Italian And German 2,40,Level 5,Undergraduate,Full Year 2021/2022,N,NE
X9142,Creative Contexts For Learning Italian And Spanish 1,40,Level 1,Undergraduate,Full Year 2021/2022,N,NE
X9145,Creative Contexts For Learning Italian And Spanish 2,40,Level 1,Undergraduate,Full Year 2021/2022,N,NE
X3422,Creative Contexts For Learning Mandarin 1,40,Level 4,Undergraduate,Full Year 2021/2022,N,NE
X3423,Creative Contexts For Learning Mandarin 1 (Gaelic Medium),40,Level 4,Undergraduate,Full Year 2021/2022,N,NE
X3517,Creative Contexts For Learning Mandarin 2,40,Level 5,Undergraduate,Full Year 2021/2022,N,NE
X3541,Creative Contexts For Learning Mandarin 2 (Gaelic Medium),40,Level 5,Undergraduate,Full Year 2021/2022,N,NE
X3435,Creative Contexts For Learning Mathematics 1,40,Level 4,Undergraduate,Full Year 2021/2022,N,NE
X3436,Creative Contexts For Learning Mathematics 1 (Gaelic Medium),40,Level 4,Undergraduate,Full Year 2021/2022,N,NE
X3527,Creative Contexts For Learning Mathematics 2,40,Level 5,Undergraduate,Full Year 2021/2022,N,NE
X3539,Creative Contexts For Learning Mathematics 2 (Gaelic Medium),40,Level 5,Undergraduate,Full Year 2021/2022,N,NE
X3466,Creative Contexts For Learning Maths 1a,20,Level 4,Undergraduate,Full Year 2021/2022,N,NE
X3467,Creative Contexts For Learning Maths 1b,20,Level 4,Undergraduate,Full Year 2021/2022,N,NE
X3447,Creative Contexts For Learning Modern Studies 1,40,Level 4,Undergraduate,Full Year 2021/2022,N,NE
X3448,Creative Contexts For Learning Modern Studies 1 (Gaelic Medium),40,Level 4,Undergraduate,Full Year 2021/2022,N,NE
X3534,Creative Contexts For Learning Modern Studies 2,40,Level 5,Undergraduate,Full Year 2021/2022,N,NE
X3538,Creative Contexts For Learning Modern Studies 2 (Gaelic Medium),40,Level 5,Undergraduate,Full Year 2021/2022,N,NE
X3503,Creative Contexts For Learning Music 2,40,Level 5,Undergraduate,Full Year 2021/2022,N,NE
X3504,Creative Contexts For Learning Music 2 (Gaelic Medium),40,Level 5,Undergraduate,Full Year 2021/2022,N,NE
X3445,Creative Contexts For Learning Physical Education 1,40,Level 4,Undergraduate,Full Year 2021/2022,N,NE
X3446,Creative Contexts For Learning Physical Education 1 (Gaelic Medium),40,Level 4,Undergraduate,Full Year 2021/2022,N,NE
X3533,Creative Contexts For Learning Physical Education 2,40,Level 5,Undergraduate,Full Year 2021/2022,N,NE
X3545,Creative Contexts For Learning Physical Education 2 (Gaelic Medium),40,Level 5,Undergraduate,Full Year 2021/2022,N,NE
X3468,Creative Contexts For Learning Physics 1a,20,Level 4,Undergraduate,Full Year 2021/2022,N,NE
X3469,Creative Contexts For Learning Physics 1b,20,Level 4,Undergraduate,Full Year 2021/2022,N,NE
X3433,Creative Contexts For Learning Physics With Science 1,40,Level 4,Undergraduate,Full Year 2021/2022,N,NE
X3434,Creative Contexts For Learning Physics With Science 1 (Gaelic Medium),40,Level 4,Undergraduate,Full Year 2021/2022,N,NE
X3526,Creative Contexts For Learning Physics With Science 2,40,Level 5,Undergraduate,Full Year 2021/2022,N,NE
X3537,Creative Contexts For Learning Physics With Science 2 (Gaelic Medium),40,Level 5,Undergraduate,Full Year 2021/2022,N,NE
X3406,Creative Contexts For Learning Primary 1,40,Level 4,Undergraduate,Full Year 2021/2022,N,NE
X3460,Creative Contexts For Learning Primary 1 (Gaelic Medium),40,Level 4,Undergraduate,Full Year 2021/2022,N,NE
X3502,Creative Contexts For Learning Primary 2,40,Level 5,Undergraduate,Full Year 2021/2022,N,NE
X3556,Creative Contexts For Learning Primary 2 (Gaelic Medium),40,Level 5,Undergraduate,Full Year 2021/2022,N,NE
X3437,Creative Contexts For Learning Psychology 1,40,Level 4,Undergraduate,Full Year 2021/2022,N,NE
X3438,Creative Contexts For Learning Psychology 1 (Gaelic Medium),40,Level 4,Undergraduate,Full Year 2021/2022,N,NE
X3528,Creative Contexts For Learning Psychology 2,40,Level 5,Undergraduate,Full Year 2021/2022,N,NE
X3529,Creative Contexts For Learning Psychology 2 (Gaelic Medium),40,Level 5,Undergraduate,Full Year 2021/2022,N,NE
